Att 1,Att 2,Correlation
V100,V277,0.136190434
V274,V315,0.136177483
V154,V202,0.136174173
V156,V127,0.136159177
V279,D5,0.136134691
V308,V157,0.136123573
V40,V163,0.136117196
V276,V133,0.136112831
V24,V186,0.136104348
card3,V82,0.136096856
V95,V319,0.136072435
V176,V184,0.136070647
V102,V250,0.136049602
V318,V156,0.13603975
V149,V317,0.136038091
V42,TransactionAmt,0.136033314
V228,card3,0.136016059
V69,D11,0.135992025
V98,V162,0.135984847
V147,V256,0.13597675
V37,D7,0.135971327
V302,V44,0.135944858
V177,V78,0.135905271
V112,V86,0.135897252
V335,V224,0.135895362
V337,V310,0.135866801
V131,V272,0.135847412
V307,V251,0.135800378
V251,V318,0.135799439
V184,V216,0.135781844
V283,V49,0.135781762
V55,V289,0.135774985
V179,V223,0.135756123
V59,V67,0.135743149
V164,V257,0.135740835
V33,TransactionAmt,0.135732432
V214,V285,0.135716277
V273,V73,0.135708352
V289,V99,0.135703503
V155,TransactionAmt,0.135701955
V218,V288,0.135683264
V91,V283,0.135681997
V220,V189,0.135679331
V221,V39,0.135670995
V212,TransactionDT,0.13566746
V15,V273,0.135655505
V156,V307,0.135644755
D1,V85,0.135614189
V276,V68,0.135613922
C2,V190,0.135604045
V134,V251,0.135600948
V130,V154,0.13559983
V248,V219,0.135597278
V195,V207,0.135582674
V228,V168,0.135576526
V281,V51,0.135566377
TransactionID,V167,0.135565977
V264,V272,0.135559364
V169,V292,0.135553365
V196,V148,0.135529637
V231,V78,0.135526312
V149,V297,0.13551936
V148,V101,0.135516927
V195,V235,0.135506114
V214,V165,0.135505376
V217,V170,0.135504749
V221,V82,0.135504497
TransactionAmt,V152,0.13550171
V170,V113,0.135475978
V154,V338,0.135473557
V242,V255,0.135465876
V286,V290,0.135452493
V319,V310,0.13544714
TransactionDT,V202,0.135376393
V179,V156,0.135353491
V266,V229,0.135315797
D5,V185,0.135312822
V126,V166,0.135312409
V148,V293,0.135292253
V301,V171,0.135274357
V170,V112,0.13526937
V237,V312,0.135268711
D4,D14,0.135267789
V87,V141,0.135235565
V302,V96,0.135225143
V171,V300,0.135218726
V167,V87,0.135201707
V15,V207,0.135193993
V158,V230,0.135190615
V156,V186,0.135187315
V156,V332,0.135164895
D4,V164,0.13516321
V317,V250,0.135163031
V61,V250,0.135157174
V180,TransactionID,0.1351534
V172,V78,0.135146479
V64,V44,0.135127316
V230,V156,0.135108857
V190,V148,0.135081259
V258,V198,0.135076581
V168,V149,0.135074823
V250,V339,0.135070791
V149,V186,0.135065576
V62,V229,0.13506446
V225,V38,0.13505364
D6,V188,0.135052517
V38,V155,0.135047849
V273,V39,0.135045698
V214,V16,0.135030853
V214,V300,0.135026173
V219,V242,0.135015472
V252,V222,0.135002496
V272,V175,0.134997483
V46,V147,0.134976906
V162,V268,0.134955263
V229,V193,0.134951657
V251,V127,0.13490026
V316,V276,0.134871326
V223,V205,0.134868861
V82,V63,0.134849014
V157,V128,0.13484636
V54,V283,0.134829293
V156,V102,0.134821994
V275,V284,0.134803678
V232,V246,0.13479603
TransactionAmt,V58,0.134774076
V242,V251,0.134741455
V123,V246,0.134730759
V148,V126,0.134724242
V68,V214,0.134709591
V183,V94,0.134699064
V338,V42,0.134685683
V280,V291,0.13468404
V146,V214,0.134678021
V199,V116,0.134676673
V188,V109,0.134674197
V133,V250,0.134658795
V157,V318,0.134658536
V210,V135,0.134642888
V277,V20,0.134639278
V148,V176,0.134637919
V92,V230,0.134625145
V285,V288,0.134617896
V30,D11,0.134607574
V217,V337,0.134598852
V110,V170,0.134590904
V188,V24,0.134584015
V294,V156,0.134582305
V244,V219,0.134580472
V42,V99,0.134562771
V149,D7,0.134559021
V157,V134,0.134557419
V250,V249,0.134508998
V314,V251,0.134488978
V177,TransactionID,0.134467907
V238,V45,0.134457909
V281,V62,0.134450117
V157,V307,0.13443406
V79,V234,0.134421743
V283,V30,0.134421499
V328,card1,0.134418928
V130,V277,0.134410413
V310,D6,0.134408885
V335,V149,0.134407836
V108,V170,0.134404835
V207,V236,0.134394078
V219,V253,0.134387936
C9,V304,0.134386553
V218,V312,0.134342979
V113,V17,0.134321529
V219,V337,0.134320694
V57,V232,0.134315566
V306,V148,0.134315318
V339,V315,0.134304835
D7,V208,0.134256396
V302,V294,0.134252623
D6,V321,0.134203044
V39,V281,0.134191637
V66,V56,0.134191593
TransactionAmt,V71,0.134188616
V176,V219,0.134181398
V288,V131,0.134172082
V148,V132,0.134154728
V190,V140,0.134151077
V319,V132,0.134113269
V257,V273,0.134108019
V148,D7,0.134107968
V274,V16,0.134101884
V251,V294,0.134075603
V337,V130,0.134069408
V315,V225,0.134061135
V147,V214,0.1340325
D13,D5,0.13402599
card5,V171,0.134025896
V277,V16,0.134021858
card3,V44,0.1340155
V283,V94,0.133998273
V199,C1,0.133994494
V275,V34,0.133990274
V304,V273,0.133973523
V294,V157,0.133965908
TransactionAmt,V92,0.133892096
V33,D2,0.133868695
D7,V94,0.133863262
D7,V285,0.133862552
V178,V149,0.133856398
V244,V123,0.133853238
V154,V310,0.133807686
V22,C10,0.133807257
V162,V335,0.133803692
V157,V102,0.133800276
V177,V148,0.133800129
V302,V171,0.13379703
V147,V230,0.133795292
V47,V168,0.13379283
V83,V224,0.133780796
V77,V82,0.133774398
D1,V188,0.133755617
V155,V283,0.133745128
V73,TransactionAmt,0.133727898
V58,V235,0.13372341
D4,card3,0.133715711
V312,D3,0.13370296
V57,V233,0.133680328
card1,V323,0.13364918
V190,V169,0.133648698
V302,V317,0.133640017
V281,V271,0.133635338
V31,V61,0.133613518
V274,V172,0.133588625
V231,V258,0.133574875
C9,C2,0.133565905
V325,V39,0.133532846
V156,D7,0.133527083
V157,V127,0.133525457
V300,V276,0.1335227
V191,V146,0.133513021
V251,V102,0.133508885
V156,V283,0.133499419
V81,V83,0.133499001
V312,V236,0.133498012
D1,V81,0.133497662
V251,V297,0.133497511
V148,V316,0.133493242
V329,V276,0.133479787
V289,V62,0.133479732
V249,V255,0.133467948
V124,V155,0.133456457
V286,V170,0.133448724
V39,V142,0.133432287
V156,V248,0.133421826
V280,V158,0.133417205
V3,V293,0.133409952
V254,V156,0.133396749
V227,V229,0.133348774
V194,V257,0.133346959
V129,V264,0.13334522
V171,V252,0.133337564
V199,V149,0.133314017
V274,V336,0.133304968
V225,D10,0.133290784
V260,V259,0.133279453
V155,D7,0.133262286
V42,V310,0.133251424
V32,V26,0.133229071
V73,V219,0.133220408
V317,V319,0.13321825
V179,V157,0.133216464
V286,V313,0.133196316
V148,TransactionAmt,0.133194837
V265,V58,0.133177889
TransactionAmt,V156,0.13317637
card1,V332,0.13314986
V138,V292,0.133149604
D7,V153,0.133134907
V177,V223,0.133120155
V56,D7,0.133098664
V228,V195,0.133095658
V161,V40,0.133082503
V331,V148,0.133081966
TransactionAmt,V31,0.133080154
V174,V234,0.133045439
V217,V131,0.133026986
V154,D7,0.132991266
V40,V111,0.132986268
V156,V133,0.132980942
V70,D11,0.13296841
V18,V113,0.132964508
V244,V251,0.132943899
V201,V79,0.132941201
V183,V247,0.132928396
V71,V326,0.132922335
V155,V95,0.132920233
V86,V185,0.132913558
V99,V51,0.132906275
V302,isFraud,0.132903472
V188,D15,0.132892773
V213,V223,0.132876802
V34,V67,0.132872405
V64,V327,0.132848734
V64,V47,0.132837144
V230,V39,0.132805718
V219,V87,0.132804893
V100,V10,0.13280443
V184,D5,0.132797435
V339,V42,0.132792023
V158,V97,0.132782402
V44,V304,0.132769694
V155,V314,0.132750843
V149,V328,0.132732845
V109,V170,0.132719666
V130,V271,0.1327136
V262,V45,0.132708232
V228,V179,0.132703875
V202,V250,0.132673753
V267,V178,0.132669469
V208,V273,0.132658117
V251,V317,0.13263467
V198,V228,0.132597895
D10,V164,0.132593417
V251,V104,0.132590579
V301,V214,0.132588714
V155,V322,0.132561798
V233,V131,0.132558163
V221,isFraud,0.132545186
V220,V245,0.132498932
V257,V268,0.132475521
V40,V326,0.13247525
V226,V94,0.132462012
V283,V337,0.132457222
V157,V163,0.132454508
V207,V218,0.13245359
V46,V87,0.132447369
V297,V156,0.132433513
V59,V82,0.132428753
V155,V279,0.132418716
V40,V283,0.132416274
V47,V60,0.132391411
V156,V317,0.132378712
V130,V42,0.132332107
V83,V71,0.132316591
V333,V157,0.132315565
V300,V278,0.132283946
V211,V223,0.132283753
V32,C7,0.132277975
V278,V33,0.132274171
V174,V137,0.132270065
V312,V217,0.132253082
V289,V172,0.132247176
V11,V74,0.132237103
V335,D4,0.132230632
V181,D5,0.132223983
V219,V207,0.132217563
V278,V171,0.132196005
V336,V169,0.132193442
V312,V274,0.132192678
V326,V84,0.132167504
V28,V271,0.132165756
V11,V97,0.132162056
V251,V133,0.132150183
V287,V313,0.13214656
V232,V131,0.132101741
D1,V76,0.132092213
V303,D14,0.132072923
V248,V269,0.132072198
V267,V167,0.132000834
D1,C5,0.131999739
V242,V265,0.131997901
V190,V92,0.131991661
V334,V271,0.131991242
V73,V230,0.131975342
V96,V158,0.131970176
V163,V283,0.131954572
V61,V251,0.131953324
V281,V312,0.131947616
D10,V143,0.131946813
V148,V212,0.131906647
V266,V173,0.131906133
V174,V303,0.131880412
TransactionAmt,V151,0.131873129
V191,V139,0.131833321
V238,V176,0.131819586
V149,V213,0.131816802
V82,V190,0.131805867
V267,V307,0.13179152
V158,V324,0.131786431
V108,V189,0.131783812
V194,V254,0.131780129
V237,V196,0.131775087
V284,V168,0.131768282
V239,V188,0.131762453
V266,V248,0.131732968
V77,V177,0.131730457
V215,V313,0.131709672
TransactionID,V211,0.131700851
D3,V336,0.131679737
V147,V183,0.131665623
V274,V313,0.131655895
V162,V45,0.131654398
V54,V314,0.131646307
V319,V335,0.131616159
V85,V157,0.131606727
TransactionAmt,V43,0.131603099
V165,V250,0.131581273
V63,V281,0.131574035
V148,V167,0.131544104
V176,V212,0.131538664
V158,V323,0.131514174
V276,V274,0.13151115
V332,V157,0.131506556
V304,isFraud,0.131497918
V38,V338,0.131443153
V207,V237,0.13143877
V87,V83,0.131433711
V51,V130,0.131422609
V92,V186,0.131420931
V50,V206,0.131414947
V263,V74,0.131413562
V156,V328,0.131405685
V222,V247,0.131401186
V171,V214,0.131400677
V277,V73,0.1313854
V52,V221,0.131371544
V94,V20,0.131349774
D5,V239,0.131347267
V260,V100,0.131344708
C13,V187,0.131317668
V163,V334,0.131317078
V317,V157,0.131306691
V19,V92,0.131291873
V133,V157,0.131285378
V204,TransactionID,0.131283255
V156,V168,0.131273675
V176,V58,0.131264177
V284,V162,0.131257262
V189,V110,0.131256356
V237,V228,0.131255473
V222,V40,0.131252403
V302,V139,0.131202225
V45,V237,0.131197545
V101,V155,0.131160373
V331,V43,0.131152219
V158,V31,0.13115085
D5,V179,0.131147303
C2,V199,0.13111022
V223,V212,0.131108926
V161,V289,0.1311075
V47,V275,0.131081481
V34,V10,0.131072404
V148,V136,0.131070528
V319,V175,0.131050871
V125,V287,0.131040305
V270,V334,0.131030356
V37,V328,0.131026963
V276,V301,0.131024398
V278,V147,0.1310243
TransactionAmt,V234,0.131013891
V34,V225,0.130997477
V40,V246,0.130984891
V222,V74,0.130984577
V293,V319,0.130984112
V339,V251,0.130944877
V286,V56,0.130929024
V225,V61,0.130928595
V293,V155,0.13092418
V79,V99,0.130906572
V244,V237,0.130899941
V144,V82,0.130889203
V179,V267,0.130887413
V229,V174,0.130882307
V158,V175,0.130882226
V172,V281,0.130879496
V330,V158,0.130876246
V61,V32,0.130876086
V324,V82,0.13087456
V186,V148,0.130871599
V86,V108,0.13086833
V184,V258,0.130857045
V283,V162,0.130855358
V297,V157,0.130848487
V262,V314,0.130847674
V195,V172,0.13084551
V233,V176,0.130833076
V101,V319,0.130814849
V72,V170,0.130809003
V211,V148,0.130807301
D10,V165,0.130803736
D3,V210,0.130719103
V108,V44,0.130713667
V98,D14,0.130687978
V147,V138,0.130677539
V155,V186,0.130674256
V199,V115,0.130671381
V191,V147,0.130657467
V232,V243,0.130602658
D4,C13,0.130584292
V15,V278,0.130578164
V178,V156,0.130570739
V158,V295,0.130562836
V223,V298,0.130525855
V245,V170,0.130514314
D5,V172,0.130508968
V184,TransactionAmt,0.130496758
V123,V185,0.130489827
V191,V229,0.130469128
V248,V155,0.130437516
V303,V158,0.130429739
V202,TransactionID,0.130414582
V276,V318,0.130396401
V246,V79,0.130389566
V294,V260,0.130376435
V212,TransactionID,0.130369296
V313,V268,0.130361042
V87,V142,0.130355156
V204,V148,0.130353223
V103,V158,0.130331437
V174,V20,0.130328621
V100,V309,0.13032811
V33,V67,0.130317737
V155,V126,0.130312789
V43,V329,0.130303493
V312,V233,0.130290304
V16,V275,0.130290259
V230,V175,0.130288178
V10,V54,0.1302861
V172,V220,0.130283354
V176,C11,0.130281656
TransactionAmt,V34,0.130270375
V55,V301,0.130267255
V165,V319,0.130245108
V230,V292,0.130214471
V59,V283,0.130199055
V302,V127,0.130197246
V236,D5,0.130192182
C10,V32,0.130189455
V199,V148,0.130187577
V301,V278,0.130185069
V201,V210,0.130170643
V72,V229,0.130153686
V16,V26,0.13014828
V176,V232,0.130134757
V325,V38,0.13012659
V32,C12,0.13010958
V217,V57,0.13009137
V272,V335,0.130044472
V175,V85,0.130014788
V23,V190,0.129983067
V270,V170,0.129965709
V89,V216,0.129949898
V319,V326,0.12994286
V156,V77,0.129936945
D6,V224,0.129854675
V230,V167,0.129844614
V320,V153,0.129837217
V155,V132,0.129831424
V276,V105,0.129810275
V285,V282,0.129804963
V70,V283,0.129798301
V232,V312,0.129783567
D7,V336,0.129774349
V155,V306,0.12976205
V310,V225,0.12974737
V51,V310,0.129737416
V80,V82,0.12972159
V36,V97,0.129714095
V167,V250,0.129691296
V25,V53,0.12969084
V59,V61,0.129684853
V272,V267,0.129682744
V219,V34,0.129677958
V149,TransactionAmt,0.129676847
V251,V202,0.12966851
TransactionAmt,V72,0.129654393
V135,V68,0.129653924
D8,V228,0.129648319
V282,V2,0.129618483
V92,V246,0.129598591
V74,TransactionAmt,0.12957796
V155,V177,0.129567403
V93,TransactionAmt,0.129551589
V208,V311,0.129547277
V77,V231,0.12951804
V314,V149,0.129517793
V64,V62,0.129514456
V162,V205,0.129506155
V335,V156,0.129481878
V220,D5,0.129481225
TransactionAmt,V32,0.129477067
V337,TransactionAmt,0.12945201
V82,V84,0.129436507
V284,V265,0.129395938
V83,V324,0.129395783
V62,V92,0.129384278
V146,V256,0.129378042
C6,V215,0.129333673
V166,V68,0.129324415
V86,V218,0.129321725
V84,V61,0.129311918
V10,V312,0.129309333
V52,V281,0.129264531
D8,V77,0.129262446
V20,V73,0.129258517
V10,V36,0.129235493
V46,V25,0.12923043
V67,V281,0.129228217
V25,V88,0.129210146
V172,D7,0.129188827
V154,V248,0.129152072
V200,V79,0.129146801
V276,V147,0.129068417
V168,D5,0.129060965
V130,V148,0.129057396
V316,V155,0.129052597
V155,V64,0.129051832
D14,V82,0.129035946
V292,V78,0.129032565
V278,V230,0.129022485
V61,V281,0.129007959
V229,V172,0.128982089
V146,V40,0.12898045
V197,V19,0.128977791
V244,V181,0.128970973
V78,D2,0.128966681
V219,V62,0.12892497
V64,V153,0.128899839
V16,C8,0.128897076
V283,V33,0.128887116
TransactionAmt,V21,0.128871436
V210,V286,0.128871082
V214,D10,0.128859945
V146,V183,0.128853497
V239,V176,0.128849168
V238,V188,0.12884234
V99,V15,0.128828746
V149,V124,0.128816275
V36,V289,0.128809166
V237,V304,0.128790603
V87,D7,0.128779439
V63,TransactionAmt,0.128765195
V95,V149,0.128747976
V273,V34,0.128743886
V20,V24,0.128736878
V99,V43,0.128736846
V243,V220,0.128733592
V187,V195,0.128721281
V153,V182,0.128719542
V109,V189,0.128706013
V155,V331,0.128705093
V228,V268,0.128696574
V338,V148,0.128672716
V64,V148,0.128665969
V235,V336,0.128658687
V158,V308,0.128619303
V194,V215,0.128597782
D8,V78,0.128558382
V304,V275,0.12855742
V229,V269,0.128552717
V82,V60,0.128541586
V146,V276,0.128540281
V165,V251,0.128459408
V270,V264,0.128447541
V157,V178,0.128439475
V215,C4,0.128421734
V207,V34,0.128420211
V57,V231,0.128417615
V154,V64,0.128399748
V39,V23,0.128395381
V246,V125,0.128386027
TransactionAmt,V319,0.12837272
V205,V325,0.128371813
V83,V60,0.12833603
C8,V18,0.128328673
V322,V149,0.128295491
V283,V5,0.128288707
V255,D10,0.128272757
V286,V77,0.128245161
V213,V156,0.128241233
V279,V149,0.128226845
V325,V283,0.128223563
V45,V303,0.128205508
V239,V226,0.128189784
V239,V214,0.128161147
V149,V37,0.128159192
D1,V10,0.128145827
V222,V62,0.12813262
V274,V74,0.128132438
V99,V57,0.128103696
V211,V250,0.128075021
V337,V238,0.128051919
V176,V62,0.128026057
V83,V201,0.128020693
D6,V189,0.127998034
V10,D11,0.127964511
V155,V212,0.127957775
V84,V234,0.127954846
V275,V270,0.12795004
V33,V281,0.127939499
V244,V255,0.127896316
V328,V42,0.127893386
V202,V89,0.127887374
V86,D7,0.127869708
V149,V243,0.12786919
V3,V280,0.127868896
TransactionAmt,V84,0.127867105
V268,V211,0.127861727
V207,V57,0.127854702
V281,V94,0.127847513
V250,V177,0.127840969
V146,V230,0.127826214
V210,V170,0.127763433
V278,V57,0.127720698
V165,card1,0.127710689
V68,V319,0.127672106
V214,V238,0.127647515
V302,V263,0.127637814
V284,V263,0.127634592
V39,V283,0.127633569
V157,V168,0.127624776
V216,V147,0.127621656
V140,V191,0.127617177
V19,V146,0.12760549
V238,D5,0.127601668
V279,V52,0.127598073
V161,V283,0.12759589
C8,V22,0.127521743
V156,V243,0.127504851
V140,V302,0.127488597
V42,V283,0.127456319
V128,V158,0.127437524
V125,V244,0.127418837
V74,V20,0.127409372
V184,V138,0.127408731
V278,V68,0.127394668
V272,V205,0.127361454
D5,V257,0.127358386
V238,V226,0.127348593
V39,V244,0.127343624
V47,V188,0.127332986
V197,V234,0.127321636
V38,V326,0.127314983
V158,V318,0.127314627
V339,D10,0.127305979
V278,V146,0.127294057
V134,V158,0.127287178
V131,V231,0.127258445
V89,V278,0.127257655
V29,C2,0.127234842
V230,V140,0.127213524
isFraud,D7,0.127198507
D2,V55,0.127195295
V234,V313,0.127186091
V11,V283,0.127174222
V328,D8,0.127166575
V137,V314,0.127156813
V230,V195,0.127112996
V289,D8,0.127110939
V169,D7,0.127107485
V78,V141,0.127107403
V235,V302,0.127101407
V250,V270,0.127100647
V83,V144,0.127097477
V149,V101,0.127091567
V26,V9,0.127084224
V225,V16,0.127082437
V85,D7,0.127079502
V257,V80,0.127065577
V140,V315,0.12706013
V155,V167,0.127051662
V158,V307,0.127048412
V100,V278,0.127033116
D2,V251,0.127021346
V34,V11,0.127016146
V310,V148,0.127015576
V190,V260,0.126987558
V36,V100,0.126977295
V251,V167,0.126955276
V146,V138,0.126945604
V54,V26,0.126932479
V210,V206,0.126916558
V218,V337,0.126912973
V83,V244,0.126911263
V267,V332,0.12689209
V202,V148,0.126881706
V211,V47,0.126861775
V293,V149,0.126850852
V209,card5,0.12679979
V268,V68,0.126799004
V337,D3,0.126797051
V24,V119,0.126792041
V258,V147,0.126789448
V294,V158,0.126769538
V21,V82,0.126757113
V325,V82,0.126754199
V225,V313,0.126740209
V312,V271,0.126738765
D2,V250,0.126737403
V77,V155,0.126729272
V289,V3,0.126712298
V326,V208,0.126707519
V43,V130,0.126664837
V149,V230,0.126638344
V155,V136,0.126633968
V39,V123,0.126632042
V293,V52,0.126625926
V74,V214,0.126621961
V282,V194,0.126608965
V158,V102,0.126608686
V302,V210,0.126579464
V170,V247,0.126573024
V10,D4,0.126568766
V311,V98,0.12656777
V235,V303,0.1265646
V60,V140,0.126559872
V282,V10,0.126558971
C5,C2,0.12654042
V294,V262,0.126530611
V82,V171,0.12652453
V154,V320,0.12650344
V136,V89,0.126502488
V210,V214,0.126498242
V227,D5,0.12646123
V37,V184,0.126440649
V230,V157,0.126438949
V252,V182,0.126415316
V284,V230,0.126414226
V82,V186,0.126402494
D14,V216,0.126391671
V99,V33,0.126370678
V139,V186,0.126358956
V123,V242,0.12635884
V233,V33,0.126351152
V282,V99,0.126341273
V127,D5,0.126340076
V174,V265,0.126335487
V304,V47,0.126332116
V62,V214,0.126311607
V11,V287,0.126311474
V211,V155,0.126295621
D13,V166,0.126290585
V161,V336,0.12628072
V58,V263,0.126264105
V44,V161,0.126253835
V255,V146,0.126251343
V114,V139,0.126248321
V149,V126,0.126247872
V23,V80,0.126241464
V158,V127,0.126218806
V40,V230,0.126208531
V44,V330,0.126194876
V219,V77,0.126182553
V190,V146,0.126180065
V10,V76,0.126127568
V74,V218,0.126108827
V328,V40,0.126094227
V64,V156,0.12605762
V331,V166,0.126055985
V228,V40,0.126055554
V209,C11,0.126052922
D4,V288,0.12604268
V334,V169,0.126036524
V33,V232,0.126012511
V16,V219,0.126006853
V46,isFraud,0.125990855
V67,V230,0.125984532
V99,V16,0.125961388
V43,V310,0.125958186
V262,V176,0.125951845
V300,V216,0.125935901
V66,V59,0.125926572
V29,V287,0.125914217
V277,V327,0.12591029
V87,V184,0.125905353
V114,V188,0.125894128
V77,V260,0.125872752
V234,V42,0.125867203
V269,V89,0.125865712
V77,V141,0.12586484
V265,V244,0.125853834
D2,V11,0.125842733
V231,V312,0.125818853
V306,V149,0.12581569
V20,V57,0.125794498
V304,V321,0.125793734
V303,V86,0.125790782
D3,V185,0.125786841
V156,V124,0.125786527
V149,V132,0.125775513
V319,V236,0.125774288
V87,V110,0.125769781
V61,V63,0.125767553
V163,V98,0.125757984
V211,V276,0.125752608
V272,V275,0.125731269
V267,V177,0.125717528
V247,V221,0.125716921
V157,V259,0.125702439
V19,V194,0.125700236
V250,V279,0.125700128
V272,V250,0.125683221
V40,V149,0.125676686
V176,V185,0.125647672
V258,V156,0.125646758
V128,V166,0.125642424
V179,V158,0.125627035
V210,V262,0.125625671
V328,V166,0.125595487
V114,V189,0.125592909
TransactionAmt,V150,0.12558118
V174,V268,0.125567361
V95,V250,0.125561503
V230,V81,0.125541765
V100,V315,0.125528118
V83,V64,0.125520658
V312,V272,0.125512996
V74,V275,0.125489518
V64,V281,0.125482198
V142,V170,0.125482048
V23,V118,0.125481428
V83,V77,0.125479864
V216,V146,0.125470198
V251,V211,0.125457952
V270,V50,0.125433574
V40,V339,0.125417835
V190,V147,0.12540374
V243,V266,0.125383511
V15,V233,0.125381623
V238,V199,0.125376601
V73,V232,0.125356229
V235,V45,0.125355748
V204,V155,0.125354536
V156,V95,0.125349926
V303,card5,0.125323512
C12,V94,0.125321908
V215,V315,0.125320748
V78,V262,0.125319678
V155,V230,0.125317892
V18,V257,0.125292256
V163,V44,0.125286913
TransactionAmt,V214,0.125277995
V27,V278,0.125267848
V57,V228,0.125259665
V327,V84,0.125254626
V36,V11,0.125245969
V232,V15,0.125236927
V251,V177,0.125235184
V16,V273,0.125214098
V196,V139,0.125212876
V149,V64,0.125211902
V223,V278,0.12520055
V83,V242,0.125193582
V38,V172,0.125183955
V44,V260,0.125159301
V316,V149,0.125139702
V250,V242,0.125107461
V39,V242,0.12508827
V10,V279,0.125087083
V334,V161,0.125070604
V149,V177,0.12506303
D7,V184,0.125043471
V250,V306,0.125040469
V217,V33,0.125038112
C7,V94,0.125010969
V73,V233,0.12500271
V270,V282,0.125001911
V322,V156,0.124998594
V208,V283,0.124992158
V83,V221,0.124985847
V260,V45,0.124979385
V233,V288,0.124975442
V169,V199,0.124975342
V274,V269,0.124953592
C9,V50,0.124944572
V253,V192,0.124931073
V61,V80,0.124916359
V281,D7,0.124897383
isFraud,V260,0.124888567
V207,V16,0.124887093
V337,V232,0.124884392
V291,V2,0.12485246
V304,V125,0.124847312
V279,V156,0.124827132
C4,V32,0.124826426
D15,V327,0.124822221
V246,D5,0.124808916
V158,V333,0.124765287
V223,V104,0.124757194
V233,V337,0.124725041
V331,V149,0.124700448
V208,V204,0.124693161
V199,V239,0.124677773
V310,V223,0.124641883
V266,V274,0.124641569
V326,V188,0.124636928
D3,V208,0.124623971
V319,V294,0.124603156
D13,V192,0.124601386
V284,V176,0.12459479
V98,V261,0.124578678
V94,C10,0.124571695
D10,V256,0.12457086
V284,V163,0.124550346
V286,V163,0.124525362
V168,V193,0.124522146
V202,V98,0.124517167
V155,V130,0.124515192
V168,V196,0.124506596
V60,V61,0.124482429
V126,V250,0.124471924
V156,V314,0.124465129
V98,V125,0.124456899
V119,V124,0.124449276
V203,V153,0.124435048
V162,V286,0.124424052
V34,V278,0.124422331
V338,V155,0.124414909
V50,C4,0.12440589
V80,V146,0.124405448
V302,V307,0.124400558
V136,V300,0.124388342
V266,V249,0.124383662
V199,V237,0.124375241
V63,V155,0.124360335
V232,V288,0.124359378
V20,V261,0.124353293
V19,V71,0.124340077
V34,V281,0.124336322
V98,V297,0.12433565
V289,V130,0.124333429
V307,V166,0.124324206
D15,V189,0.124320962
V81,V62,0.124319585
V227,D3,0.12429389
V303,isFraud,0.124286664
V34,C8,0.124282228
V172,V210,0.124281452
V223,V273,0.124273064
V195,V19,0.124271599
TransactionAmt,V22,0.124261575
V154,V182,0.124260352
V44,V101,0.124245985
V20,V146,0.124243163
V82,V64,0.124240039
V15,V217,0.124218321
V133,V158,0.124213459
V249,V269,0.124202755
V259,V51,0.124197668
V172,V213,0.124193182
V181,V258,0.124189297
V113,V40,0.124176735
V317,V158,0.124167758
V141,V42,0.124144895
V19,V93,0.124124642
V28,V278,0.124084487
V250,V293,0.124081254
V300,V277,0.12406668
V138,V45,0.124063059
V40,V338,0.124045835
V158,V332,0.124042688
V10,V52,0.124039764
V199,V185,0.124036836
V157,V279,0.124033882
V217,V207,0.124033877
V17,V82,0.124018874
V53,V67,0.124015469
V223,V297,0.123990413
V266,V89,0.123969167
V310,V124,0.123963648
V83,V200,0.123958898
V101,V250,0.123956604
V63,V153,0.123945114
V131,D5,0.123941367
D14,V62,0.123930357
V23,V81,0.123929231
V186,V140,0.123908787
V216,V301,0.123897861
V64,V157,0.123852137
V66,V290,0.123837603
V186,C13,0.123828147
V24,isFraud,0.123824303
C7,V57,0.123818903
V99,V58,0.12381295
V234,C6,0.123810765
V64,TransactionAmt,0.123800915
V157,V213,0.123794608
V57,C10,0.123792131
D7,V210,0.123777211
TransactionAmt,V17,0.123743029
D14,V261,0.123738654
V292,V326,0.123731228
V101,V156,0.123725423
V146,V82,0.123709299
V77,V233,0.12370913
V3,V282,0.123697031
V272,V170,0.123695938
V281,V80,0.123682584
V223,V231,0.123673819
V304,card5,0.123668256
V82,V81,0.123656113
V47,V303,0.123653367
V322,card1,0.123625765
V141,V156,0.123611097
V155,V37,0.123600478
V287,V90,0.123597572
V45,V146,0.123592589
V239,V337,0.123592427
D3,V98,0.123586694
V143,card1,0.123585826
V262,V226,0.123573037
V162,V47,0.123571304
V44,V262,0.12355331
V147,V19,0.123552687
V33,V208,0.123543029
V89,V203,0.123538841
V63,V148,0.123537501
V331,V98,0.123532805
C12,V57,0.123485854
TransactionAmt,V59,0.123480448
V293,V156,0.123473641
V299,V21,0.123469491
V111,V39,0.123455795
V302,TransactionID,0.123437194
V188,V94,0.123427339
V66,V281,0.123423146
V254,V256,0.123422247
V267,V126,0.123418468
V234,V337,0.12340818
D5,V258,0.123402383
V250,V132,0.12337495
V250,V316,0.123356924
V252,V180,0.123355123
V151,D2,0.123351122
V185,V37,0.123315455
V100,V50,0.123306044
V140,V67,0.123291415
V279,V251,0.12328388
V254,V155,0.123272996
V94,C8,0.123269509
V250,V244,0.123264523
V148,V304,0.123262096
V271,V250,0.123244692
V162,V334,0.12323446
V205,V270,0.123229574
V15,V67,0.12322783
V276,V213,0.123219239
card1,V164,0.123199627
V251,V95,0.123172926
V58,V222,0.123164046
V58,V274,0.123158648
